[Thread-0][epoch 0]	Val Loss: 355.3181602790244
[Thread-1][epoch 0]	Val Loss: 349.47291712920315
[Thread-4][epoch 0]	Val Loss: 348.36806225962
[Thread-2][epoch 0]	Val Loss: 326.65918067684703
[Thread-1][epoch 1]	Val Loss: 343.04627475887224
[Thread-0][epoch 1]	Val Loss: 339.2312301726768
[Thread-3][epoch 0]	Val Loss: 336.0381282034427
[Thread-4][epoch 1]	Val Loss: 336.02116711216416
[Thread-0][epoch 2]	Val Loss: 334.43711562768414
[Thread-2][epoch 1]	Val Loss: 315.9951000524773
[Thread-1][epoch 2]	Val Loss: 338.12884880152484
[Thread-4][epoch 2]	Val Loss: 330.9867073977025
[Thread-3][epoch 1]	Val Loss: 330.4642664804744
[Thread-1][epoch 3]	Val Loss: 332.8716121822397
[Thread-2][epoch 2]	Val Loss: 310.86921247561077
[Thread-4][epoch 3]	Val Loss: 326.271003181539
[Thread-0][epoch 3]	Val Loss: 329.15746448503637
[Thread-3][epoch 2]	Val Loss: 318.7167094138215
[Thread-1][epoch 4]	Val Loss: 327.71733028589375
[Thread-4][epoch 4]	Val Loss: 321.86613265064284
[Thread-0][epoch 4]	Val Loss: 321.1077760174576
[Thread-2][epoch 3]	Val Loss: 306.415605104157
[Thread-3][epoch 3]	Val Loss: 313.4870309501918
[Thread-1][epoch 5]	Val Loss: 320.8946225363488
[Thread-4][epoch 5]	Val Loss: 315.570287050808
[Thread-3][epoch 4]	Val Loss: 309.2009923724063
[Thread-2][epoch 4]	Val Loss: 300.5517431387205
[Thread-1][epoch 6]	Val Loss: 316.19248623774337
[Thread-0][epoch 5]	Val Loss: 310.07130032006495
[Thread-4][epoch 6]	Val Loss: 302.5639220625814
[Thread-3][epoch 5]	Val Loss: 297.6832516607339
[Thread-2][epoch 5]	Val Loss: 296.05552219303826
[Thread-0][epoch 6]	Val Loss: 306.20572651594927
[Thread-1][epoch 7]	Val Loss: 304.08362994451073
[Thread-2][epoch 6]	Val Loss: 291.12001914871666
[Thread-4][epoch 7]	Val Loss: 293.4450974845311
[Thread-3][epoch 6]	Val Loss: 289.09962068807016
[Thread-0][epoch 7]	Val Loss: 297.7027098957108
[Thread-2][epoch 7]	Val Loss: 277.2238777459069
[Thread-1][epoch 8]	Val Loss: 298.71931339126485
[Thread-0][epoch 8]	Val Loss: 294.03319481667137
[Thread-4][epoch 8]	Val Loss: 290.81992101227416
[Thread-3][epoch 7]	Val Loss: 275.48792746496616
[Thread-2][epoch 8]	Val Loss: 270.1499176343937
[Thread-4][epoch 9]	Val Loss: 278.5228332068331
[Thread-3][epoch 8]	Val Loss: 271.6322065847536
[Thread-0][epoch 9]	Val Loss: 290.0911324088235
[Thread-1][epoch 9]	Val Loss: 294.4086839024808
[Thread-2][epoch 9]	Val Loss: 264.6810470478709
[Thread-4][epoch 10]	Val Loss: 268.38948953772734
[Thread-1][epoch 10]	Val Loss: 279.15696158820833
[Thread-0][epoch 10]	Val Loss: 280.072756766378
[Thread-3][epoch 9]	Val Loss: 267.141089051469
[Thread-2][epoch 10]	Val Loss: 260.76398482825255
[Thread-4][epoch 11]	Val Loss: 260.378409302064
[Thread-0][epoch 11]	Val Loss: 268.27917956057587
[Thread-1][epoch 11]	Val Loss: 275.0469766927084
[Thread-2][epoch 11]	Val Loss: 255.39420574165447
[Thread-3][epoch 10]	Val Loss: 262.0901361070833
[Thread-4][epoch 12]	Val Loss: 251.5847680462116
[Thread-3][epoch 11]	Val Loss: 257.9557992976735
[Thread-4][epoch 13]	Val Loss: 241.2039695686485
[Thread-1][epoch 12]	Val Loss: 261.9029734850778
